"original","bias","std. error","min. c.i.","max. c.i.","X","index"
0.149341850973012,0.000590792691812586,0.0110736486988681,0.128464546155869,0.172053448842519,"rinv","first order"
0.0189084165334203,0.000731696993631282,0.0105158009239661,-0.00124119001033309,0.0390349624320882,"time_intervention","first order"
-0.0104734037520227,7.84519408909383e-05,0.0100266804490454,-0.0315772289346328,0.0102278850954454,"R0_1","first order"
-0.0024513823733507,9.55135749747833e-05,0.00925051846140786,-0.0210518756452639,0.0158280517617655,"R0_2","first order"
0.0981974857243807,0.000227208481060295,0.00997894030012634,0.078633991881016,0.116050681521216,"omega_1","first order"
0.276116695420473,-0.000584499613907108,0.011069095931017,0.255149214942314,0.301112802095885,"omega_2","first order"
-0.00621564268912649,7.74282219307898e-05,0.00981845668199879,-0.0263694260613757,0.0116526502007874,"p_12","first order"
-0.00325433991242877,0.000279499774645984,0.00998117250980975,-0.0217047494521544,0.0147633753553225,"p_21","first order"
0.343267021568156,-0.000127381854990061,0.00686219241084019,0.328315486681315,0.356247550615009,"rinv","total"
0.126781078115997,0.00030490591750168,0.00467012840941238,0.117299323905051,0.135657570859123,"time_intervention","total"
0.132653307243943,-0.000169507883528625,0.0069422593686901,0.115736146717513,0.146737905205464,"R0_1","total"
0.0897891455760385,-0.000460857762138528,0.00458714533587779,0.0798590487235228,0.0991594242258558,"R0_2","total"
0.328159264618956,-0.000590345581198248,0.010359518944451,0.308421837951585,0.350980823646751,"omega_1","total"
0.497031924163165,-0.00121735944166529,0.0124499499977131,0.468705048702495,0.52400561381275,"omega_2","total"
0.0477646993876037,-0.000386933002598525,0.00288190671064058,0.0411945650191879,0.0535210854714731,"p_12","total"
0.0474724598053501,0.000134391380684606,0.00244219397475075,0.0422542516745415,0.0517786441052115,"p_21","total"
