"original","bias","std. error","min. c.i.","max. c.i.","X","index"
-0.0166256171328214,0.000196852781073578,0.0104376545121946,-0.0389490611237898,0.0039863123875178,"rinv","first order"
0.0475962025502135,0.000526984274050145,0.00984619120742891,0.0278919588972231,0.068179533209936,"time_intervention","first order"
0.127942584921661,4.62703438982859e-05,0.00955773354897719,0.107799230709073,0.145532297531143,"R0_1","first order"
0.0447190598958468,-0.000281857598647704,0.00938323047423692,0.0270523473946569,0.0663965172952077,"R0_2","first order"
0.12453301276508,3.62827976781444e-05,0.00936790498875869,0.103144223009562,0.141175241270214,"omega_1","first order"
0.402604667593453,0.000464002260923579,0.0080885067232028,0.387226132310645,0.419090026443736,"omega_2","first order"
-0.0116427646779648,0.000158982664508187,0.0102126620358414,-0.030363873043353,0.00744121388206451,"p_12","first order"
-0.0203206158856515,-3.08695380972501e-06,0.0102729188003463,-0.0409569077590164,0.000549388452711325,"p_21","first order"
0.012143328227781,-5.16551174896338e-05,0.00038754606089152,0.0113569412415322,0.0129700678432777,"rinv","total"
0.10096157835238,-0.000380278198863618,0.0022818635068448,0.0969281184806874,0.106767467213305,"time_intervention","total"
0.236245060940004,-0.000235501010373701,0.00449698046061362,0.227560878897069,0.246436790402565,"R0_1","total"
0.138447552928073,-0.000149490045864842,0.00312987939142722,0.132848099932022,0.144236214436916,"R0_2","total"
0.192090244891972,-0.000259478812168784,0.0033941984045009,0.186257357787202,0.200881623846023,"omega_1","total"
0.471407806329554,0.000661380073675444,0.00709346875753405,0.455455389465503,0.484979357654457,"omega_2","total"
0.0423857916329171,0.000288429506140712,0.00156999018939922,0.0391144248360939,0.0450490695816982,"p_12","total"
0.0208744360127477,6.43347321702403e-05,0.000917393441152369,0.0190013855978943,0.0224386134739509,"p_21","total"
